scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
混合方块 (1x1+2x2),9,12,2720,True,0.09829473495483398,128,14.222222222222221,30,11,,
混合方块 (1x1+2x2),9,13,55331,True,0.019171953201293945,138,15.333333333333334,22,1,,
混合方块 (1x1+2x2),9,14,29946,False,0.9035661220550537,-1,-1,-1,66,NoSolution,
混合方块 (1x1+2x2),9,15,95106,False,2.3807220458984375,-1,-1,-1,86,NoSolution,
混合方块 (1x1+2x2),9,16,24091,False,0.02374434471130371,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,17,86696,False,0.035375118255615234,-1,-1,-1,2,NoSolution,
混合方块 (1x1+2x2),9,18,81896,True,0.019066333770751953,114,12.666666666666666,28,0,,
混合方块 (1x1+2x2),9,19,35270,False,0.015921354293823242,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),9,20,20293,True,0.2805905342102051,158,17.555555555555557,29,35,,
混合方块 (1x1+2x2),10,1,79552,True,1.0087525844573975,139,13.9,22,164,,batch_analysis_v2_optimized\images\paths\混合方块_1x1+2x2_N10.png
混合方块 (1x1+2x2),10,2,35737,True,0.23288702964782715,190,19.0,30,21,,
混合方块 (1x1+2x2),10,3,79303,True,0.031430721282958984,132,13.2,29,1,,
混合方块 (1x1+2x2),10,4,64648,True,0.03577375411987305,129,12.9,24,2,,
混合方块 (1x1+2x2),10,5,96226,False,0.01948690414428711,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),10,6,94203,True,0.44708728790283203,113,11.3,18,99,,
混合方块 (1x1+2x2),10,7,85560,True,0.446120023727417,146,14.6,24,55,,
混合方块 (1x1+2x2),10,8,52580,True,0.3804895877838135,144,14.4,22,59,,
混合方块 (1x1+2x2),10,9,17503,True,0.06160259246826172,120,12.0,20,9,,
混合方块 (1x1+2x2),10,10,26140,False,0.01978302001953125,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),10,11,23649,False,0.016055822372436523,-1,-1,-1,0,NoSolution,
混合方块 (1x1+2x2),10,12,96275,False,0.06204724311828613,-1,-1,-1,8,NoSolution,
混合方块 (1x1+2x2),10,13,7297,True,0.12747883796691895,172,17.2,30,6,,
混合方块 (1x1+2x2),10,14,57442,False,0.7695825099945068,-1,-1,-1,104,NoSolution,
混合方块 (1x1+2x2),10,15,84622,False,0.4881289005279541,-1,-1,-1,65,NoSolution,
混合方块 (1x1+2x2),10,16,52903,False,3.123640775680542,-1,-1,-1,224,NoSolution,
混合方块 (1x1+2x2),10,17,501,True,0.13498878479003906,142,14.2,25,14,,
混合方块 (1x1+2x2),10,18,67712,False,0.04879927635192871,-1,-1,-1,3,NoSolution,
混合方块 (1x1+2x2),10,19,95068,False,0.3341104984283447,-1,-1,-1,39,NoSolution,
混合方块 (1x1+2x2),10,20,86524,True,0.37461113929748535,126,12.6,23,76,,
混合长条 (1x1+1x2+2x1),6,1,62593,True,0.05902814865112305,95,15.833333333333334,21,8,,batch_analysis_v2_optimized\images\paths\混合长条_1x1+1x2+2x1_N6.png
混合长条 (1x1+1x2+2x1),6,2,43016,True,0.0413670539855957,87,14.5,29,8,,
混合长条 (1x1+1x2+2x1),6,3,94324,True,0.04148530960083008,66,11.0,22,10,,
混合长条 (1x1+1x2+2x1),6,4,30868,True,0.10429668426513672,91,15.166666666666666,23,12,,
混合长条 (1x1+1x2+2x1),6,5,40669,True,0.01585674285888672,98,16.333333333333332,28,1,,
混合长条 (1x1+1x2+2x1),6,6,76991,True,0.008155107498168945,84,14.0,18,0,,
混合长条 (1x1+1x2+2x1),6,7,11072,True,0.013712882995605469,106,17.666666666666668,30,2,,
混合长条 (1x1+1x2+2x1),6,8,94148,False,0.01604151725769043,-1,-1,-1,2,NoSolution,
混合长条 (1x1+1x2+2x1),6,9,57240,True,0.022328615188598633,100,16.666666666666668,27,2,,
混合长条 (1x1+1x2+2x1),6,10,21982,False,0.019644737243652344,-1,-1,-1,1,NoSolution,
