scenario,seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
混合方块 (1x1 + 2x2),27611,9,12,False,5.017278432846069,-1,-1,264,超时,9,
混合方块 (1x1 + 2x2),52231,9,13,True,0.027727842330932617,27,109,1,,9,
混合方块 (1x1 + 2x2),62588,9,14,False,5.015519618988037,-1,-1,459,超时,9,
混合方块 (1x1 + 2x2),68062,9,15,True,0.2684049606323242,18,123,46,,9,
混合方块 (1x1 + 2x2),8627,9,16,False,0.013732671737670898,-1,-1,0,no_solution,9,
混合方块 (1x1 + 2x2),82660,9,17,True,0.11451196670532227,27,136,12,,9,
混合方块 (1x1 + 2x2),17350,9,18,False,0.011643409729003906,-1,-1,0,no_solution,9,
混合方块 (1x1 + 2x2),76825,9,19,True,0.08061027526855469,29,155,12,,9,
混合方块 (1x1 + 2x2),24876,9,20,False,1.7109296321868896,-1,-1,226,no_solution,9,
混合方块 (1x1 + 2x2),28189,10,1,False,0.16277289390563965,-1,-1,12,no_solution,10,
混合方块 (1x1 + 2x2),75423,10,2,True,0.013004779815673828,19,94,0,,10,
混合方块 (1x1 + 2x2),2835,10,3,False,0.04902052879333496,-1,-1,2,no_solution,10,
混合方块 (1x1 + 2x2),26276,10,4,False,1.253812313079834,-1,-1,237,no_solution,10,
混合方块 (1x1 + 2x2),15815,10,5,False,0.017385244369506836,-1,-1,0,no_solution,10,
混合方块 (1x1 + 2x2),41524,10,6,False,0.02278280258178711,-1,-1,2,no_solution,10,
混合方块 (1x1 + 2x2),89639,10,7,True,0.06366229057312012,20,102,15,,10,
混合方块 (1x1 + 2x2),47165,10,8,True,0.01812434196472168,23,96,2,,10,
混合方块 (1x1 + 2x2),73478,10,9,False,4.176801681518555,-1,-1,257,no_solution,10,
混合方块 (1x1 + 2x2),58609,10,10,True,0.00844120979309082,17,94,0,,10,
混合方块 (1x1 + 2x2),2749,10,11,True,0.2046647071838379,27,137,35,,10,
混合方块 (1x1 + 2x2),4378,10,12,True,2.1707231998443604,26,151,271,,10,
混合方块 (1x1 + 2x2),73435,10,13,False,0.010266304016113281,-1,-1,0,no_solution,10,
混合方块 (1x1 + 2x2),44401,10,14,False,0.03549695014953613,-1,-1,5,no_solution,10,
混合方块 (1x1 + 2x2),8397,10,15,False,1.1726856231689453,-1,-1,165,no_solution,10,
混合方块 (1x1 + 2x2),61711,10,16,True,0.11492919921875,24,157,14,,10,
混合方块 (1x1 + 2x2),82043,10,17,True,0.2947690486907959,23,147,57,,10,
混合方块 (1x1 + 2x2),72595,10,18,False,0.020261764526367188,-1,-1,0,no_solution,10,
混合方块 (1x1 + 2x2),13618,10,19,False,0.023294925689697266,-1,-1,0,no_solution,10,
混合方块 (1x1 + 2x2),76147,10,20,False,0.029269695281982422,-1,-1,2,no_solution,10,
混合长条 (1x1 + 1x2 + 2x1),89540,4,1,False,0.04924821853637695,-1,-1,2,no_solution,4,
混合长条 (1x1 + 1x2 + 2x1),54327,4,2,False,0.006361246109008789,-1,-1,0,no_solution,4,
混合长条 (1x1 + 1x2 + 2x1),6723,4,3,True,0.009057283401489258,22,65,0,,4,
混合长条 (1x1 + 1x2 + 2x1),43213,4,4,False,0.11615753173828125,-1,-1,29,no_solution,4,
混合长条 (1x1 + 1x2 + 2x1),96495,4,5,True,0.08133888244628906,33,69,2,,4,
混合长条 (1x1 + 1x2 + 2x1),90033,4,6,True,0.19593024253845215,22,59,42,,4,
混合长条 (1x1 + 1x2 + 2x1),64741,4,7,True,0.007114887237548828,19,55,0,,4,
混合长条 (1x1 + 1x2 + 2x1),32809,4,8,True,0.04051709175109863,41,77,0,,4,
混合长条 (1x1 + 1x2 + 2x1),88332,4,9,True,0.013675689697265625,23,67,0,,4,
混合长条 (1x1 + 1x2 + 2x1),40451,4,10,True,0.007950544357299805,17,50,0,,4,
混合长条 (1x1 + 1x2 + 2x1),32106,4,11,True,0.018344640731811523,26,81,0,,4,
混合长条 (1x1 + 1x2 + 2x1),39669,4,12,True,0.07125377655029297,30,75,11,,4,
混合长条 (1x1 + 1x2 + 2x1),6471,4,13,True,0.012521743774414062,23,59,2,,4,
混合长条 (1x1 + 1x2 + 2x1),85874,4,14,True,0.45238804817199707,50,85,7,,4,
混合长条 (1x1 + 1x2 + 2x1),79912,4,15,True,0.08410072326660156,30,67,4,,4,
混合长条 (1x1 + 1x2 + 2x1),99016,4,16,True,0.008507966995239258,17,51,2,,4,
混合长条 (1x1 + 1x2 + 2x1),4680,4,17,True,0.011899709701538086,26,72,0,,4,
混合长条 (1x1 + 1x2 + 2x1),14401,4,18,True,0.3619568347930908,31,90,41,,4,
混合长条 (1x1 + 1x2 + 2x1),4309,4,19,True,0.020245075225830078,26,59,6,,4,
混合长条 (1x1 + 1x2 + 2x1),97870,4,20,True,0.06903338432312012,21,74,16,,4,
混合长条 (1x1 + 1x2 + 2x1),26867,5,1,True,0.013892173767089844,26,50,1,,5,
混合长条 (1x1 + 1x2 + 2x1),43265,5,2,True,0.02173018455505371,20,91,7,,5,
混合长条 (1x1 + 1x2 + 2x1),18940,5,3,True,0.005242347717285156,16,54,0,,5,
混合长条 (1x1 + 1x2 + 2x1),20559,5,4,True,0.006768703460693359,23,63,0,,5,
混合长条 (1x1 + 1x2 + 2x1),48609,5,5,False,0.008474588394165039,-1,-1,0,no_solution,5,
混合长条 (1x1 + 1x2 + 2x1),43728,5,6,True,0.012000083923339844,28,56,0,,5,
混合长条 (1x1 + 1x2 + 2x1),76955,5,7,True,0.008919954299926758,25,64,2,,5,
混合长条 (1x1 + 1x2 + 2x1),26709,5,8,True,0.01105046272277832,24,84,2,,5,
混合长条 (1x1 + 1x2 + 2x1),57711,5,9,True,0.009678125381469727,30,93,0,,5,
混合长条 (1x1 + 1x2 + 2x1),82559,5,10,False,0.0058553218841552734,-1,-1,0,no_solution,5,
混合长条 (1x1 + 1x2 + 2x1),87245,5,11,True,0.02581024169921875,22,70,8,,5,
混合长条 (1x1 + 1x2 + 2x1),84900,5,12,False,5.033265590667725,-1,-1,270,超时,5,
混合长条 (1x1 + 1x2 + 2x1),6308,5,13,True,0.014036417007446289,25,84,0,,5,
混合长条 (1x1 + 1x2 + 2x1),13573,5,14,False,0.1340792179107666,-1,-1,1,no_solution,5,
混合长条 (1x1 + 1x2 + 2x1),58158,5,15,True,0.18064475059509277,25,106,4,,5,
混合长条 (1x1 + 1x2 + 2x1),82744,5,16,True,0.05688142776489258,36,126,4,,5,
